country,Clade,cases,deaths,cases_category,deaths_category,data_as_of,
Saint Pierre and Miquelon,Not reported,0,0,0,0,09-Oct-24,
Saint Vincent and the Grenadines,Not reported,0,0,0,0,09-Oct-24,
Samoa,Not reported,0,0,0,0,09-Oct-24,
San Marino,Not reported,0,0,0,0,09-Oct-24,
Sao Tome and Principe,Not reported,0,0,0,0,09-Oct-24,
Saudi Arabia,Clade II,95,0,26 - 100,0,09-Oct-24,
Senegal,Not reported,0,0,0,0,09-Oct-24,
Serbia,Not reported,0,0,0,0,09-Oct-24,
Seychelles,Not reported,0,0,0,0,09-Oct-24,
Sierra Leone,Not reported,0,0,0,0,09-Oct-24,
Singapore,Clade II,15,0,Nov-25,0,09-Oct-24,
Sint Maarten,Not reported,0,0,0,0,09-Oct-24,
Slovakia,Clade II,2,0,01-Oct,0,09-Oct-24,
Slovenia,Not reported,0,0,0,0,09-Oct-24,
Solomon Islands,Not reported,0,0,0,0,09-Oct-24,
Somalia,Not reported,0,0,0,0,09-Oct-24,
South Africa,Clade II,25,3,Nov-25,01-Oct,09-Oct-24,
South Korea,Clade II,13,0,Nov-25,0,09-Oct-24,
South Sudan,Not reported,0,0,0,0,09-Oct-24,
Spain,Clade II,488,0,101 - 500,0,09-Oct-24,
Sri Lanka,Not reported,0,0,0,0,09-Oct-24,
St-Martin,Not reported,0,0,0,0,09-Oct-24,
Sudan,Not reported,0,0,0,0,09-Oct-24,
Suriname,Not reported,0,0,0,0,09-Oct-24,
Sweden,Clade I and Clade II,35,0,26 - 100,0,09-Oct-24,
Switzerland,Clade II,25,0,Nov-25,0,09-Oct-24,
Syria,Not reported,0,0,0,0,09-Oct-24,
Taiwan,Clade II,71,0,0,0,09-Oct-24,
Tajikistan,Not reported,0,0,0,0,09-Oct-24,
Tanzania,Not reported,0,0,0,0,09-Oct-24,
Thailand,Clade I and Clade II,148,9,101 - 500,01-Oct,09-Oct-24,
Timor-Leste,Not reported,0,0,0,0,09-Oct-24,
Togo,Not reported,0,0,0,0,09-Oct-24,
Tokelau,Not reported,0,0,0,0,09-Oct-24,
Tonga,Not reported,0,0,0,0,09-Oct-24,
Trinidad and Tobago,Not reported,0,0,0,0,09-Oct-24,
Tunisia,Not reported,0,0,0,0,09-Oct-24,
Turkey,Not reported,0,0,0,0,09-Oct-24,
Turkmenistan,Not reported,0,0,0,0,09-Oct-24,
Turks and Caicos Islands,Not reported,0,0,0,0,09-Oct-24,
Tuvalu,Not reported,0,0,0,0,09-Oct-24,
Uganda,Clade I,11,0,Nov-25,0,09-Oct-24,
Ukraine,Not reported,0,0,0,0,09-Oct-24,
United Arab Emirates,Clade II,3,0,01-Oct,0,09-Oct-24,
United Kingdom,Clade II,183,0,101 - 500,0,09-Oct-24,
United States of America,Clade II,2851,9,> 500,01-Oct,09-Oct-24,
Uruguay,Not reported,0,0,0,0,09-Oct-24,
Uzbekistan,Not reported,0,0,0,0,09-Oct-24,
Vanuatu,Not reported,0,0,0,0,09-Oct-24,
Vatican,Not reported,0,0,0,0,09-Oct-24,
Venezuela,Not reported,0,0,0,0,09-Oct-24,
Vietnam,Clade II,82,6,26 - 100,01-Oct,09-Oct-24,
Virgin Islands (British),Not reported,0,0,0,0,09-Oct-24,
Virgin Islands (U.S.),Not reported,0,0,0,0,09-Oct-24,
Wallis and Futuna,Not reported,0,0,0,0,09-Oct-24,
Yemen,Not reported,0,0,0,0,09-Oct-24,
Zambia,Not reported,0,0,0,0,09-Oct-24,
Zimbabwe,Not reported,0,0,0,0,09-Oct-24,
